customer_name;rfm_recency;rfm_frequency;rfm_monetary;rfm_sum_string;rfm_segment
Lela Donovan;1;1;1;111;lost customer
Sung Chung;1;1;1;111;lost customer
Carl Jackson;1;1;1;111;lost customer
Mitch Gastineau;1;1;1;111;lost customer
Ricardo Emerson;1;1;1;111;lost customer
Anemone Ratner;1;1;1;111;lost customer
Roland Murray;1;1;1;111;lost customer
Anthony O'Donnell;1;1;1;111;lost customer
Patricia Hirasaki;3;1;1;311;new customer
Jocasta Rupert;3;1;1;311;new customer
Theresa Coyne;2;1;1;211;lost customer
Susan MacKendrick;1;1;1;111;lost customer
Jenna Caffey;2;1;1;211;lost customer
David Philippe;1;1;1;111;lost customer
Pauline Chand;1;1;1;111;lost customer
Jim Radford;1;1;2;112;lost customer
Christina DeMoss;3;1;2;312;new customer
Bryan Spruell;1;1;1;111;lost customer
Randy Bradley;3;1;1;311;new customer
Georgia Rosenberg;1;1;2;112;lost customer
Gene Hale;1;1;2;112;lost customer
Paul Knutson;1;1;2;112;lost customer
Ritsa Hightower;1;1;1;111;lost customer
Steven Ward;1;1;1;111;lost customer
David Kendrick;4;1;1;411;new customer
Chuck Sachs;4;1;1;411;new customer
Carlos Meador;1;1;1;111;lost customer
Ralph Ritter;4;1;1;411;new customer
Muhammed Lee;2;1;1;211;lost customer
Joel Jenkins;1;1;1;111;lost customer
Hilary Holden;3;1;1;311;new customer
Guy Phonely;1;1;1;111;lost customer
Thais Sissman;1;1;1;111;lost customer
Ed Ludwig;2;1;1;211;lost customer
Bobby Odegard;3;1;1;311;new customer
Phillip Breyer;1;1;1;111;lost customer
Greg Hansen;4;1;1;411;new customer
Michael Oakman;2;1;1;211;lost customer
Ionia McGrath;1;1;1;111;lost customer
Adrian Shami;3;1;1;311;new customer
Roy Skaria;4;1;1;411;new customer
Nicole Brennan;1;1;1;111;lost customer
Brendan Dodson;1;1;1;111;lost customer
Brad Thomas;1;1;1;111;lost customer
Valerie Takahito;1;1;2;112;lost customer
Stefanie Holloman;1;1;2;112;lost customer
Mitch Willingham;3;1;4;314;new customer
Greg Maxwell;2;1;4;214;lost customer
Juliana Krohn;4;1;4;414;new customer
Grant Thornton;3;1;4;314;new customer
Rob Haberlin;1;1;2;112;lost customer
Jack Garza;1;1;3;113;lost customer
David Flashing;1;1;3;113;lost customer
Justin Ellison;4;1;3;413;new customer
Brian Stugart;1;1;3;113;lost customer
Doug Jacobs;4;1;3;413;new customer
Sandra Glassco;4;1;3;413;new customer
Evan Minnotte;2;1;1;211;lost customer
Jason Klamczynski;1;1;1;111;lost customer
Barry Weirich;1;1;1;111;lost customer
Tim Taslimi;1;1;1;111;lost customer
Larry Tron;4;1;1;411;new customer
Lycoris Saunders;1;1;1;111;lost customer
Larry Hughes;2;1;1;211;lost customer
Chuck Magee;1;1;1;111;lost customer
Susan Gilcrest;1;1;1;111;lost customer
Larry Blacks;3;1;1;311;new customer
Fred Wasserman;1;1;1;111;lost customer
Karen Seio;1;1;1;111;lost customer
Pete Takahito;3;1;1;311;new customer
Harold Dahlen;1;1;1;111;lost customer
Clay Cheatham;4;1;1;411;new customer
Astrea Jones;3;1;1;311;new customer
Shirley Schmidt;1;1;1;111;lost customer
Brian Derr;4;1;1;411;new customer
Bart Folk;4;1;1;411;new customer
Corey Roper;1;1;1;111;lost customer
Patrick Bzostek;4;1;1;411;new customer
Julia Dunbar;1;1;1;111;lost customer
Carol Darley;3;1;1;311;new customer
Beth Fritzler;3;1;1;311;new customer
Michelle Lonsdale;2;1;1;211;lost customer
Harold Engle;4;1;1;411;new customer
Sally Knutson;4;1;1;411;new customer
Aaron Bergman;1;1;1;111;lost customer
Paul MacIntyre;1;1;2;112;lost customer
Cyra Reiten;2;1;2;212;lost customer
Ralph Kennedy;2;1;2;212;lost customer
Cathy Hwang;1;1;2;112;lost customer
Don Miller;1;1;2;112;lost customer
Maureen Gnade;1;1;2;112;lost customer
Sarah Bern;1;1;2;112;lost customer
Elpida Rittenbach;1;1;2;112;lost customer
Liz Willingham;1;1;2;112;lost customer
Sean Wendt;2;1;1;211;lost customer
Jim Sink;3;1;1;311;new customer
Victor Preis;3;1;1;311;new customer
Alyssa Crouse;1;1;1;111;lost customer
Joni Blumstein;1;1;1;111;lost customer
Katrina Bavinger;2;1;1;211;lost customer
Claire Gute;1;1;2;112;lost customer
Tony Molinari;2;1;2;212;lost customer
Kimberly Carter;3;1;2;312;new customer
Duane Huffman;1;1;1;111;lost customer
Alex Russell;2;1;1;211;lost customer
Vivek Sundaresam;1;1;1;111;lost customer
Eudokia Martin;2;1;1;211;lost customer
Mike Kennedy;1;1;1;111;lost customer
Mary O'Rourke;3;1;1;311;new customer
Ken Dana;1;1;1;111;lost customer
Rachel Payne;1;1;1;111;lost customer
Hallie Redmond;4;1;1;411;new customer
Ellis Ballard;2;1;1;211;lost customer
Cindy Schnelling;1;1;1;111;lost customer
Russell D'Ascenzo;3;1;1;311;new customer
Carl Ludwig;2;1;2;212;lost customer
Troy Blackwell;1;1;2;112;lost customer
Matt Hagelstein;2;1;2;212;lost customer
Eileen Kiefer;3;1;2;312;new customer
Stuart Van;2;1;2;212;lost customer
Michelle Ellison;2;1;2;212;lost customer
Magdelene Morse;2;1;2;212;lost customer
Michelle Tran;1;1;2;112;lost customer
Barry Franz;3;1;2;312;new customer
Ann Blume;3;1;2;312;new customer
Christine Abelman;4;1;2;412;new customer
Jill Stevenson;2;1;2;212;lost customer
Nancy Lomonaco;3;1;2;312;new customer
Ted Butterfield;2;1;2;212;lost customer
Julia West;1;1;2;112;lost customer
Andy Gerbode;1;1;2;112;lost customer
Chad Sievert;1;1;1;111;lost customer
Art Foster;1;1;1;111;lost customer
Thomas Brumley;3;1;1;311;new customer
Liz Pelletier;3;1;1;311;new customer
Ivan Gibson;3;1;1;311;new customer
Matthew Clasen;1;1;1;111;lost customer
Sonia Cooley;2;1;1;211;lost customer
Anthony Witt;4;1;1;411;new customer
Ryan Crowe;2;1;1;211;lost customer
Richard Eichhorn;1;1;1;111;lost customer
Peter Bühler;3;1;1;311;new customer
Henry MacAllister;1;1;1;111;lost customer
Angele Hood;4;1;1;411;new customer
Andy Yotov;4;1;1;411;new customer
MaryBeth Skach;1;1;1;111;lost customer
Denise Leinenbach;3;1;1;311;new customer
Maria Zettner;4;1;1;411;new customer
Bobby Trafton;1;1;1;111;lost customer
Mathew Reese;2;1;1;211;lost customer
Anthony Garverick;2;1;1;211;lost customer
Sally Matthias;1;1;1;111;lost customer
Guy Thornton;3;1;1;311;new customer
Erin Mull;3;1;1;311;new customer
Dianna Arnett;1;1;1;111;lost customer
Jasper Cacioppo;2;1;1;211;lost customer
Jennifer Halladay;4;1;1;411;new customer
Lisa Hazard;1;1;1;111;lost customer
Stuart Calhoun;3;1;1;311;new customer
Brad Norvell;4;1;1;411;new customer
Melanie Seite;1;1;1;111;lost customer
Neil Französisch;1;1;1;111;lost customer
Mark Haberlin;1;1;1;111;lost customer
Kelly Williams;1;1;1;111;lost customer
Aleksandra Gannaway;2;1;1;211;lost customer
Vivek Grady;1;1;1;111;lost customer
Lindsay Castell;1;1;3;113;lost customer
Thea Hudgings;3;1;3;313;new customer
Mike Gockenbach;2;1;3;213;lost customer
Robert Dilbeck;2;1;3;213;lost customer
Craig Carroll;1;1;3;113;lost customer
Darren Budd;1;1;3;113;lost customer
Neola Schneider;4;1;3;413;new customer
Maureen Gastineau;2;1;3;213;lost customer
George Zrebassa;2;1;3;213;lost customer
Justin Hirsh;1;1;3;113;lost customer
Fred Harton;1;1;3;113;lost customer
Craig Leslie;1;1;3;113;lost customer
Roger Barcio;3;1;2;312;new customer
Clay Rozendal;3;1;2;312;new customer
Ed Jacobs;1;1;2;112;lost customer
Trudy Glocke;2;1;2;212;lost customer
Edward Nazzal;1;1;2;112;lost customer
Tracy Zic;3;1;2;312;new customer
Darrin Sayre;2;1;2;212;lost customer
Andrew Allen;1;1;2;112;lost customer
Denny Blanton;1;1;2;112;lost customer
Benjamin Farhat;3;1;2;312;new customer
Alan Haines;3;1;2;312;new customer
Craig Reiter;2;1;2;212;lost customer
Erica Bern;4;1;2;412;new customer
Chad McGuire;4;1;2;412;new customer
Pamela Coakley;4;1;2;412;new customer
Giulietta Dortch;4;1;2;412;new customer
Tracy Poddar;1;1;2;112;lost customer
Lisa DeCherney;1;1;2;112;lost customer
Denny Joy;1;1;2;112;lost customer
Becky Martin;1;1;4;114;lost customer
Christopher Martinez;3;1;4;314;new customer
Peter Fuller;1;2;4;124;lost customer
Tom Ashbrook;3;2;4;324;active customer
Kelly Collister;2;2;4;224;big customer, cannot lose
Thomas Boland;3;2;3;323;active customer
Craig Molinari;1;2;4;124;lost customer
Peter McVee;3;2;4;324;active customer
Gary Hwang;3;2;4;324;active customer
Jamie Kunitz;3;2;4;324;active customer
Scot Coram;2;2;4;224;big customer, cannot lose
Alan Schoenberger;4;2;4;424;loyal customer
Katrina Willman;2;2;4;224;big customer, cannot lose
Mark Cousins;1;2;4;124;lost customer
Dana Kaydos;3;2;4;324;active customer
Bill Eplett;2;2;4;224;big customer, cannot lose
Rick Hansen;3;2;3;323;active customer
Robert Waldorf;2;2;3;223;lost customer
Erica Smith;3;2;3;323;active customer
Nora Paige;3;2;4;324;active customer
